LSTM1,LSTM2,LSTM3,LSTM4
-0.9491226,888.4072,1561.9098,25.77054
-0.93327004,887.4675,1561.9384,25.767117
-0.9197245,890.5243,1561.9597,25.76887
-0.9064287,888.5092,1561.9521,25.769054
-0.89145267,888.55194,1561.9797,25.770916
-0.8913979,890.95496,1561.9972,25.773718
-0.896006,891.1675,1561.9878,25.77458
-0.8824113,889.064,1561.9961,25.776726
-0.86908495,886.39734,1562.0103,25.771044
-0.8550645,888.5187,1562.0037,25.773642
-0.843484,887.7681,1562.0173,25.765882
-0.8293803,888.97974,1562.0142,25.767796
-0.81317824,886.6093,1562.0167,25.768887
-0.78416127,888.3785,1562.0328,25.770761
-0.7365192,890.9962,1562.0299,25.772356
-0.71844965,889.5563,1562.031,25.770733
-0.7045453,888.6659,1562.0133,25.76742
-3.4741411,1051.7637,1837.2876,31.59315
-3.50954,1050.8114,1837.3239,31.595406
-3.5004003,1050.0747,1837.3934,31.595072
-3.5364618,1051.3917,1837.396,31.598125
-3.551415,1053.0339,1837.4692,31.594261
-3.5435193,1053.989,1837.479,31.594425
-3.5485432,1052.8877,1837.5411,31.595127
-3.5399482,1056.0404,1837.5504,31.592886
-3.5134358,1053.5422,1837.592,31.594782
-3.4734223,1052.2079,1837.6418,31.590775
-3.423146,1055.5402,1837.6868,31.59174
-3.3701587,1053.3088,1837.7009,31.591656
-3.3190503,1053.2852,1837.7623,31.593601
-3.2948387,1055.8286,1837.8197,31.59599
-3.2636545,1056.9248,1837.854,31.597143
